aspect_key,aspect_label,term,count_high,count_low,total_high,total_low,low_review_share,high_review_share,lift_low_vs_high,log_lift_low_vs_high,afinn_term_score,term_sentiment,term_type
value_rating,Value,beach bar,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,phrase
value_rating,Value,breathtaking view,0,3,254,85,0.041,0.002,20.756,3.033,5,positive,phrase
value_rating,Value,fried rice,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,phrase
value_rating,Value,late arrival,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,phrase
value_rating,Value,absolutely beautiful,0,2,254,85,0.029,0.002,14.826,2.696,3,positive,phrase
value_rating,Value,biggest disappointment,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,phrase
value_rating,Value,building design,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,butler forgot,0,2,254,85,0.029,0.002,14.826,2.696,-1,negative,phrase
value_rating,Value,cleaned properly,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,dark black,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,dark inside,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,didnt feel,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,dont expect,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,door knobs,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,food selection,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,fruit juices,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,house keeping,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,main living,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,ocean front,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,poorly maintained,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,phrase
value_rating,Value,post pictures,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,price range,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,restaurant food,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,romantic getaway,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,roof top,0,2,254,85,0.029,0.002,14.826,2.696,2,positive,phrase
value_rating,Value,secluded beach,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,speak english,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,totally unacceptable,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,phrase
value_rating,Value,tropical island,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,wireless internet,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,phrase
value_rating,Value,air conditioning,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,phrase
value_rating,Value,front desk,1,3,254,85,0.041,0.006,6.919,1.934,0,neutral,phrase
value_rating,Value,luxury brand,1,3,254,85,0.041,0.006,6.919,1.934,2,positive,phrase
value_rating,Value,alila uluwatu,1,2,254,85,0.029,0.006,4.942,1.598,0,neutral,phrase
value_rating,Value,aman resorts,1,2,254,85,0.029,0.006,4.942,1.598,0,neutral,phrase
value_rating,Value,bed linens,1,2,254,85,0.029,0.006,4.942,1.598,0,neutral,phrase
value_rating,Value,butler services,1,2,254,85,0.029,0.006,4.942,1.598,0,neutral,phrase
value_rating,Value,dark wood,1,2,254,85,0.029,0.006,4.942,1.598,0,neutral,phrase
value_rating,Value,hotels resorts,1,2,254,85,0.029,0.006,4.942,1.598,0,neutral,phrase
value_rating,Value,plunge pools,1,2,254,85,0.029,0.006,4.942,1.598,0,neutral,phrase
value_rating,Value,poor condition,1,2,254,85,0.029,0.006,4.942,1.598,-2,negative,phrase
value_rating,Value,typical balinese,1,2,254,85,0.029,0.006,4.942,1.598,0,neutral,phrase
value_rating,Value,nasi goreng,3,5,254,85,0.064,0.014,4.659,1.539,0,neutral,phrase
value_rating,Value,golf cart,2,3,254,85,0.041,0.01,4.151,1.423,0,neutral,phrase
value_rating,Value,seasons jimbaran,2,3,254,85,0.041,0.01,4.151,1.423,0,neutral,phrase
value_rating,Value,comfortable bed,3,3,254,85,0.041,0.014,2.965,1.087,2,positive,phrase
value_rating,Value,spa treatment,3,3,254,85,0.041,0.014,2.965,1.087,0,neutral,phrase
value_rating,Value,antonio citterio,2,2,254,85,0.029,0.01,2.965,1.087,0,neutral,phrase
value_rating,Value,huge bathroom,2,2,254,85,0.029,0.01,2.965,1.087,1,positive,phrase
value_rating,Value,indoor shower,2,2,254,85,0.029,0.01,2.965,1.087,0,neutral,phrase
value_rating,Value,jimbaran bay,2,2,254,85,0.029,0.01,2.965,1.087,0,neutral,phrase
value_rating,Value,mini bar,2,2,254,85,0.029,0.01,2.965,1.087,0,neutral,phrase
value_rating,Value,stunning views,2,2,254,85,0.029,0.01,2.965,1.087,4,positive,phrase
value_rating,Value,cliff top,5,4,254,85,0.052,0.022,2.426,0.886,2,positive,phrase
value_rating,Value,luxury resorts,4,3,254,85,0.041,0.018,2.306,0.836,2,positive,phrase
value_rating,Value,banyan tree,3,2,254,85,0.029,0.014,2.118,0.75,0,neutral,phrase
value_rating,Value,bath tub,3,2,254,85,0.029,0.014,2.118,0.75,0,neutral,phrase
value_rating,Value,beach bag,3,2,254,85,0.029,0.014,2.118,0.75,0,neutral,phrase
value_rating,Value,cable car,3,2,254,85,0.029,0.014,2.118,0.75,0,neutral,phrase
